Warangal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ambient Air Data ,,,,,"Watersides, lake, river etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Month,AQI,SO2,NOx,PM10,PM2.5,NH3,DO (mg/L),pH,Conductivity (mS/cm),BOD (mg/L),Nitrate-N (mg/L),Nitrite-N (mg/L),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Turbidity (NTU),Phen-Alk. (mg/L),Total Alk. (mg/L),Chloride (mg/L),COD (mg/L),TKN (mg/L),Ammonia-N  (mg/L),Hardness (mg/L),Calcium Hardness (mg/l),Magnesium (mg/L),Sulphate (mg/L),Sodium (mg/L),TDS (mg/L),TFS (mg/L),TSS (mg/L),Phosphate (mg/L),Boron (mg/L),Potassium (mg/L),Fluoride (mg/L),%Sodium (mg/L),SAR (mg/L)
2016,Jan,75,7,26,76,,22,6,7.91,321,2,0.5,,106,311,13,3.2,119,32,16,0.5,0.3,134,32,16,15,16,212,163,10,0.15,0.2,2.22,0.4,18.5,0.53
,feb,72,7,19,72,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,65,7.1,21.8,63,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,73,7,20,73,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,80,8,19,84,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,70,7,22,68,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,60,7,20,56,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,41,7,28,36,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,50,7,20,52,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,61,7,22,61,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,70,6,22,83,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,84,8,30,84,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Jan,75,8,25,76,,22,6.2,8.36,347,2,2.6,,123,200,9,12.1,112,38,13,,0.1,138,30,14,20,24,233,156,8,0.14,0.1,2.67,0.6,25.7,0.82
,feb,74,8,27,79,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,68,8,27,71,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,73,8,28,72,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,70,8,27,68,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,62,7.1,23.6,61,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,53,6,26,41,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,58,6,22,58,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,65,6,20,54,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,61,9,24,62,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,70,7,27,76,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,74,7.2,27.3,78,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Jan,105,7,28.5,97,47,26,6.2,7.96,297,2,0,0.2,13,51,11,1.5,102,23,11,0.4,,112,27,11,16,17,185,142,8,0.06,0.3,2.51,0.8,23.5,0.67
,feb,93.72,7,39.1,98,44,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,80,7.1,32,80,39,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,82,8.2,36.3,82,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,83,8.5,41.2,81,42,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,85,8.7,38.2,84,40,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,71,36.1,38.8,70,34,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,76,8.6,35.7,73,34,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,80,8.6,38,80,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,87,9.1,38.6,89,40,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,95,9.6,46.7,96,41,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,87,9.5,42.1,88,38,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Jan,89,10.2,54.5,91,,66,5.9,7.98,375,2.8,0.7,0,<2,47,8,7,123,35,10,4,0.02,141,31,16,17,22,233,,8,0.22,0.1,2,0.3,24,0.7
,feb,91,10,56,91,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,91,10.1,54.6,92,34,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,92,10.1,54,89,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,93,9.6,55.2,93,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,87,8.5,47.6,86,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,88,8.2,45.8,87,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,81,8,47.3,80,,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,74,7.9,46.9,73,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,88,7.3,48.4,85,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,89,7,50.9,91,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,89,6.5,50.5,87,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Jan,90,6,49.2,89,,64,6.1,8.09,306,2.2,1.1,,2,18,6,4,92,28,14,1,0.22,116,22,10,16,23,184,,29,0.11,0.21,2.7,0.28,34.8,1.1
,feb,88,6.2,51.1,88,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,70,5.8,38.1,74,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,40,6,38,26,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,53,6.8,39.3,58,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,50,7.1,32.2,56,,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,62,8.6,44.9,48,,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,64,7,45,49,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,53,7.2,40.7,39,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,60,7.2,38.1,54,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,89,6.8,53.5,93,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,75,7.4,35.2,93,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Jan,80,6.4,42.2,81,,71,6,8.03,353,2.2,0,,2,29,7,7,115,28,15,5,0.1,117,30,11,16,23,213,,11,0.15,0.1,2.2,0.2,28.4,0.9
,feb,87,6.9,47.4,88,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,66,7.7,36.3,75,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,65,8.9,34,71,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,47,8.5,32,45,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,63,8,30.8,83,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,72,5.8,28.7,57,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,50,6.8,32.7,60,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,59,7.3,31.2,55,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,57,8.1,32.5,64,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,62,8.3,34.3,65,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,62,7.3,31,69,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Jan,66,7.1,31.8,73,,36,6.4,8.47,376,1,0.9,,<1.8,33,7.6,20,75,46,8,1.5,0.4,85,20,9,26,,,,10,0.2,0.5,,,,
,feb,68,8.4,31,73,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mar,63,8,33.1,76,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,apr,63,7.6,34.2,60,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,may,65,7.8,34.2,77,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jun,79,7.5,34.7,85,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,jul,44,7.2,30.2,47,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aug,50,6.5,26.6,56,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sep,45,7.1,29.9,48,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,oct,64,7.9,32.2,63,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nov,72,7.6,35,95,49,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dec,105,8.3,32.6,95,63,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
